4354.2565	9.9293	0.05	3.0333	0.865	47.88	509.69	502.19	1.03	0.0017	291.5
4363.6999	15.929	0.05	3.1805	0.66	51.43	505.27	494.69	1.04	0.0017	286.8
4373.1534	21.9288	0.05	3.3959	0.458	28.28	503.18	484.74	1.05	0.0111	279.5
4360.5329	5.9297	0.05	3.0255	0.729	51.25	510.2	497.45	1.04	0.0014	289
4366.8228	9.9295	0.05	3.0308	0.593	44.56	501.95	491.78	1.03	0.0052	289
4373.1173	13.9293	0.05	3.1835	0.459	34.7	502.69	484.7	1.05	0.0143	282.4
4369.9559	3.93	0.05	3.0488	0.526	31.25	505.33	488.33	1.05	0.0137	284
4373.0992	5.9299	0.05	3.0612	0.459	21.49	499.06	484.88	1.04	0.0176	282.5
4376.2436	7.9298	0.05	3.0477	0.392	26.24	496.32	480.65	1.04	0.0209	282.4
4354.2565	9.9293	0.15	3.2738	0.865	38.81	516.02	501.63	1.05	0.0021	294.4
4363.6999	15.929	0.15	3.3363	0.66	46.2	509.24	494.23	1.05	0.0021	290.5
4373.1534	21.9288	0.15	3.5805	0.459	24.72	505.83	483.94	1.06	0.0086	282.5
4360.5329	5.9297	0.15	3.2238	0.729	43.63	512.75	497.01	1.04	0.0023	291.2
4366.8228	9.9295	0.15	3.1934	0.593	43.28	507.24	491.48	1.05	0.0025	290.3
4373.1173	13.9293	0.15	3.4175	0.46	27.05	505.52	483.81	1.06	0.0125	285.7
4369.9559	3.93	0.15	3.219	0.527	24.62	507.34	487.67	1.05	0.0062	285.1
4373.0992	5.9299	0.15	3.2042	0.459	24.64	504.43	484.33	1.05	0.0133	288.9
4376.2436	7.9298	0.15	3.2071	0.393	26.44	500.66	478.03	1.06	0.0182	284.5
4354.2565	9.9293	0.25	3.4099	0.866	48.4	518.92	500.6	1.06	0.0021	297.8
4363.6999	15.929	0.25	3.481	0.661	34.96	512.21	493.49	1.06	0.0034	292.6
4373.1534	21.9288	0.25	3.7254	0.46	26.45	508.51	482.89	1.06	0.1177	286.3
4360.5329	5.9297	0.25	3.2944	0.73	23.59	517.88	495.96	1.06	0.0043	295
4366.8228	9.9295	0.25	3.3803	0.594	31.82	510.04	490.28	1.06	0.0044	292.5
4373.1173	13.9293	0.25	3.5418	0.46	28.95	507.42	482.7	1.07	0.0717	291.3
4369.9559	3.93	0.25	3.3346	0.527	24.65	510.09	486.66	1.07	0.0058	289.1
4373.0992	5.9299	0.25	3.3947	0.461	25.74	509.24	482.32	1.07	0.0925	289.9
4376.2436	7.9298	0.25	3.3089	0.393	23.55	503.7	478.88	1.07	0.1449	287
