4354.2565	7.9973	0.05	3.1254	0.866	54.57	514.01	502.06	1.03	0.0013	291.2
4363.6999	15.929	0.05	3.1699	0.66	51.84	504.9	494.71	1.04	0.0016	286.8
4373.1534	19.9944	0.05	2.9662	0.459	25.54	500.42	484.75	1.04	0.02	280.7
4360.5329	3.9983	0.05	3.0595	0.729	47.15	510.98	497.32	1.04	0.0016	288.1
4366.8228	7.9973	0.05	2.9888	0.593	37.9	501.83	491.78	1.03	0.0051	285.1
4373.1173	11.9963	0.05	2.9551	0.459	22.07	498.28	484.85	1.04	0.0168	284
4369.9559	1.9987	0.05	3.0039	0.526	29.35	503.01	488.36	1.04	0.01	282.9
4373.0992	3.9983	0.05	2.9628	0.458	29.52	497.38	484.99	1.03	0.0103	282.1
4376.2436	5.9978	0.05	2.9869	0.392	23.32	493.91	480.75	1.04	0.0232	279.5
4354.2565	7.9973	0.15	3.3197	0.867	53.8	518.53	501.51	1.05	0.0016	294.9
4363.6999	15.929	0.15	3.3361	0.66	46.28	509.34	494.22	1.05	0.0021	289.7
4373.1534	19.9944	0.15	3.06	0.459	22.99	501.51	484.4	1.05	0.0126	285.9
4360.5329	3.9983	0.15	3.2389	0.729	44.63	513.48	496.95	1.05	0.002	291.4
4366.8228	7.9973	0.15	3.1731	0.594	25.48	506.06	491.41	1.05	0.0033	289
4373.1173	11.9963	0.15	3.073	0.459	22.89	502.94	484.35	1.05	0.0117	287.4
4369.9559	1.9987	0.15	3.1243	0.527	23.18	504.82	488.2	1.05	0.0088	285.8
4373.0992	3.9983	0.15	3.0815	0.459	23.17	500.02	483.87	1.05	0.0078	284.8
4376.2436	5.9978	0.15	3.11	0.393	24.92	498.32	479.85	1.05	0.0274	282
4354.2565	7.9973	0.25	3.4784	0.868	43.21	521.04	500.75	1.06	0.0021	297.5
4363.6999	15.929	0.25	3.4822	0.66	34.74	511.6	493.46	1.05	0.0033	293.1
4373.1534	19.9944	0.25	3.1924	0.46	25.55	506.13	483.15	1.07	0.0387	287.5
4360.5329	3.9983	0.25	3.3928	0.73	41.28	516.78	496.2	1.06	0.0027	294.8
4366.8228	7.9973	0.25	3.3346	0.595	24.5	509.75	490.4	1.06	0.0047	291.6
4373.1173	11.9963	0.25	3.1973	0.46	22.44	504.42	483	1.06	0.0704	289.1
4369.9559	1.9987	0.25	3.2911	0.528	23.9	509.71	486.86	1.06	0.0086	288.1
4373.0992	3.9983	0.25	3.2127	0.46	22.64	505.47	482.59	1.07	0.1145	287.6
4376.2436	5.9978	0.25	3.2347	0.394	25.92	503.01	477.96	1.07	0.1305	285
